USER,DATE,STAR,LIKE,TITLE,REVIEW
Seungho Youngcheol,2023-06-02 19:22:23-07:00,5,1,배송좋아요,제품 컨디션 좋고 배송도 날짜에 알맞게 왔습니다~!
Jun Kisoo,2023-06-02 19:22:21-07:00,5,1,재고체크,다른 브랜드에서 보기 힘든 신상이 많이보이네요! 제품 클릭하기전에 재고 확인 가능한게 좋아요. 상세 보고나서 사려고보니 재고없으면 짱나잖아요ㅠ 중간중간 배송과정 보이는거 넘 좋구요!잘쓰고있습니다.
Nayun Juyeon,2023-06-02 07:13:10-07:00,5,1,굳굳,제품이 좋고 배송도 생각보다 빨리 왔습니다~~
동윤 함,2023-06-02 07:13:07-07:00,5,1,친절왕,고객센터에 문의를 많이했는데 한번도 불쾌한 티 안내고 친절하게 대응해주셔서 감사해요.. 저한테는 꽤나 큰 액수여서 불안했거든요. 근데 물건받아보니 불안함 싹 사라졌어요! 잘쓸게요! 감사합니다
은희 길 83,2023-06-02 03:53:04-07:00,5,1,모든게다새삥,오오오오 배송 예정일보다 빨리도착해서 기분이 째져~~~가방 새삥~~~기부니가 조아서~~~리뷰를 남길수밖에~~~~
Minhwan Hayun,2023-06-02 03:53:01-07:00,5,1,좋아요조하용오,솔직히 명품 그 가격주고 사는거 이해안갔는데 한번 사보니 알겠더라구여..? 이왕 사는거 좀 더 저렴하게 사면 좋잖아요?ㅎ 덕분에 저렴하게 세번째 아이를 데려왔어요. 것두 엄청 빠르게! 감사합니다.
민지 석 92,2023-06-02 03:53:00-07:00,5,1,편해요,맨~날 매장 전화해서 이거있나요? 저거있나요? 하는거 귀찮았는데 그냥 바로바로 제품들 보이고 가격도 착하고 좋아요. 인생이 한결 편해졌어요
Homin Jo,2023-06-02 03:52:58-07:00,5,1,최애쇼핑몰,요즘 저의 최애쇼핑몰! 찾던 제품 사이즈가 안보여서 속상했는데 저렴한 가격에 발견해서 바로 결제! 배송 빠르고 제품 상태 가격 좋아요!
Garam Yunseo,2023-06-02 03:52:56-07:00,5,1,쿠폰많이주세요오~,아 어플로 보다가 더 큰 화면으로 볼라고 각잡고 PC켰습니다. 시간가는 줄 모르고 와랄라 장바구니에 담았더니 터질라고해요ㅋㅋㅋㅋ 쿠폰써서 최애 한두개 구매했는데 진짜 가격 착하네요.
Ggwak Doyoun,2023-06-02 03:52:54-07:00,5,1,갓발란,"착한 가격 그리고 빠른 배송, 믿을 수 있는 제품까지 갓벽합니다. 이제 발란만 이용할게요~"
Seoyun Junho,2023-06-02 03:52:53-07:00,5,1,한국인맞춤브랜드,발란 진심 한국인 정서에 너무 잘맞음. 로케트로 배송하는지 개빨리오고 고객응대 좋고 가격착하고 믿을 수 있는 정품임.
