USER,DATE,STAR,LIKE,TITLE,REVIEW
동그란걸,2021-07-05 23:01:22-07:00,5,0,앱 깔끔하게 보기 편하네요~,타임딜에 올라오는 상품도 그렇고 요즘 유행 한눈에 둘러보기 좋은 어플같아요. 최저가스캐너에 가격이랑 예상수령일 같이 확인할수 있어서 좋아요!👍
은바리으네꾸,2021-07-05 21:50:48-07:00,5,0,트렌비 추천해요,"저는 쇼핑에 관심이 많아서 광장히 편리하더라구요 
구매도 편리해서 주변친구들에게 추천해주고 있어요 ㅎㅎ"
쮸뿝,2021-07-05 02:10:09-07:00,1,1,이게 뭔가요?,"트렌비를 들어가봤더니 이상한 영어가 뜨는데 이건 뭔가요?
If you see this page, the nginx web server is successfully installed and working. Further configuration is required.

For online documentation and support please refer tonginx.org.
Commercial support is available at nginx.com.

Thank you for using nginx.

이렇게 뜨는데요?"
birdhee0913,2021-07-05 01:53:17-07:00,1,1,접속불가,502 bad gateway 라고 뜨면서 접속자체가 안되네요 삭제하고 재다운해도그럼
로제내꺼니까 건드리면 아갈머리를확 찢어버릴거다,2021-07-03 06:08:11-07:00,1,1,왜 계속 네트워크 연결 오류라 뜨죠??,5g인데 계속 그러네요 어느 와이파이를 써도 그러고요 들어가지도 못하는데 왜 만든거죠?
거지963,2021-07-02 20:13:32-07:00,1,1,해외에서 접속안됨,왜지
푸푸품,2021-07-02 05:27:48-07:00,1,1,왜 안켜지나요,방금 깔았는데 켜지지가 않네요
올리원이,2021-06-29 17:18:12-07:00,5,0,구매대행어플 편히하고 좋아용,해외구매대행 사이트나 판매자가 많은데 트렌비는 품목도 다양하고 믿고 해외구매대행 할수 있는 어플이라 좋아요 가품 걱정도 없고 어플로 쉽게 쇼핑할수 있어서 편리한거 같아요 앞으로 많이 이용할게요~!!
쭈최,2021-06-28 20:23:10-07:00,5,0,트렌드한 선택,요즘 명품트렌드는 역시 트렌비에서 :) 어플잘사용하고있어요
트렌디,2021-06-21 22:46:10-07:00,3,0,애플로그인,애플로그인이 앱에서 되지 않아요 ㅜㅜ
hyeyoom,2021-06-18 22:13:21-07:00,1,1,개느림,"렉 엄청 심하고 로딩시간 엄청 길고..
좋긴 한데 너무 느림 이것만 개선되면 별 최고 4개는 줄 듯"
뱌어아러,2021-06-18 01:36:22-07:00,5,0,굿,명품구입할때마다 어디서 사야하나 고민이기도 하고 다양한 브랜드를 보고 싶었는데 여기 맘에 드네요
xiaojing95,2021-06-15 01:12:24-07:00,5,0,좋아요,"명품 브랜드도 다양하고 찾기도 쉬어서 괜찮네요
이제 여기서 쉽게 구매할 수 있겠어요"
조이Joy조이,2021-06-14 23:14:24-07:00,5,0,명품쇼핑에 특화된 앱인거 같아요!!,"예전에 타 사이트나 해외직구로 사려고 알아보다가 정품이 아닌경우가 있어서 고민이 많았는데, 여기는 믿고 살수있어서 마음이 편하네요!!  상품들을 보기도 편하게 되어있고,  최저가도 비교할수있어서 좋은거 같아요~  자주 들어와서 볼거같아요~"
Doliron,2021-06-14 19:30:32-07:00,5,0,현 시국 해외쇼핑몰,"해외나가서 놀던 때가 엊그제 인데 ㅠㅠ 
근데!!  직구 말고 이렇게 쇼핑몰처럼 깔끔한 어플이 생겨서 너무 좋아요
제품수도 다양하고 제 스타일들이 많아서 애용중입니다 ㅎㅎ"
볼링여신,2021-06-09 21:22:40-07:00,5,0,한 눈에 보기 편해요 :),예상 수령일이 고지 되어있어서 언제 올지 생각 하고 주문 할 수 있어서 마음에 안정감이 느껴져요 ㅋㅋㅋㅋㅋ 세일스캐너로 세일 상품들 모아 놓으니 편리해요!
soicoool,2021-06-09 21:21:40-07:00,4,0,한눈에볼수있는 직구쇼핑몰!,트렌비는 카테고리도 검색하기 쉽게 잘되어있어요 갖고싶은 상품이 있었는데 간편하게 찾을수 있었어요 가짜 파는곳도 많은데 진품이었고 믿을만합니다!
스낭달,2021-06-07 19:55:26-07:00,5,0,굳굳 맘에 들어요^^,"친구가 알려줘서 깔았는데 할인률 무엇?
완전 맘에 들어요^^"
어ㅑㄴ으ㅓㄹ디츠가오라난,2021-06-02 06:36:15-07:00,4,0,구매후기 남기려고 하는데 작성 자체가 안돼요,"구매후기 남기려고 사진이랑 준비 다 됐는데 태그랑 사진첨부만 가능하고 후기 작성만 기록이 안돼요. 여러번 해도 껐다 켜도 제 핸드폰 문제는 아닌 것 같은데,,어떻게 남겨야 할까요? ㅠㅠ"
미키마느,2021-06-01 17:22:42-07:00,4,0,검색 쉬워 좋아요,명품브랜드별로 쉽게 검색할 수 있어 좋네요. 실시간으로 검색되어 직접 구입하는 느낌입니다 ㅎ
진마마님,2021-06-01 01:37:45-07:00,5,0,좋아요 만족해요,우선 구경하는데 시간가는줄 모르네요 특정하게 찾는게 없어서 그런가 이것저것 다 사고 싶은 마음입니다 보복심리로 매장까지 가서 줄서서 기다릴 필요도 없구 보기가 편해 좋습니다~~
